trace_id,label,avg_latency,max_latency,total_tool_calls,total_bytes,max_api_sensitivity,num_api_calls,tool_sequence
5981970e-964f-4b4e-9988-49edce79ca86,0,497.0,1282,1,2328,0.3,1,user_profile
0a446608-7d4a-43ad-b3cf-2e4ce20ae48e,0,647.0,1657,1,197,0.3,1,calculator
80a0f72e-e820-4bc0-bbc9-3053c2a19662,0,250.0,595,1,5071,0.2,1,kb-search
b2967f64-9850-4a7f-a227-e1451bd717f3,0,405.0,1021,1,7835,0.2,1,calculator
22fc9f35-eb31-4fb6-9c00-a62398a556b8,0,225.66666666666666,477,1,2491,0.3,1,calendar_lookup
a0dacc59-37a1-4bcb-ad41-92b67e3353c2,0,137.0,208,1,5149,0.3,1,calendar_lookup
5fa80369-7b53-41e9-83f0-6abe0d4a2116,0,670.6666666666666,1742,1,282,0.2,1,weather_api
c98bb09e-b5ef-419f-885f-34c8f454087f,0,382.3333333333333,955,1,5982,0.2,1,calculator
d5f42357-7115-4ccc-9047-80765de93e8a,0,641.0,1792,1,504,0.2,1,weather_api
672a38bc-6dee-40f9-b421-22d1f4561e44,0,390.0,1067,1,3086,0.3,1,calculator
71dcdddb-9b08-4f37-9fb7-eb712300f924,0,185.33333333333334,410,1,760,0.3,1,user_profile
d3e673fd-1a5b-464d-b14f-76278096331a,0,467.6666666666667,1177,1,3023,0.2,1,kb-search
1eb47fe3-c04b-4566-a8bf-a66113527991,0,196.66666666666666,349,1,2887,0.2,1,weather_api
155cd8ab-c3c9-4b20-be5f-5f231b174f9b,0,315.0,661,1,5981,0.2,1,calendar_lookup
e28268bb-9348-42e0-a5ab-0e173d753b1e,0,106.0,213,1,4212,0.2,1,calendar_lookup
0ad7a127-f69f-4110-b4ca-ed41bbf73e36,0,615.6666666666666,1633,1,2231,0.2,1,weather_api
abbee5c7-8e59-468f-b024-54c210da9c4e,0,628.0,1657,1,508,0.3,1,weather_api
442e99fd-30e2-4c87-bc4d-df9ff6b6d0a9,0,286.3333333333333,582,1,7200,0.3,1,weather_api
048bcd80-c84d-4e5a-9453-10190ad99626,0,234.66666666666666,584,1,7915,0.2,1,kb-search
f13e745b-b4dd-4bb7-8fd4-66e9727882d5,0,578.3333333333334,1468,1,2651,0.2,1,calendar_lookup
5178b9dc-1fb9-44a5-bab1-dee600908b05,0,339.0,866,1,4306,0.3,1,kb-search
50422596-cd71-4326-ab0c-ecb43b0928fd,0,532.3333333333334,1344,1,6105,0.3,1,calendar_lookup
edfe6ed3-61f5-44a3-828b-cff51bbb2012,0,136.0,243,1,1880,0.3,1,kb-search
8adcc450-eb8d-43df-97e4-2633b5349cf8,0,621.3333333333334,1586,1,7879,0.3,1,kb-search
b8f2fed9-5b20-4db5-b85f-ec42167d31d3,0,496.6666666666667,1415,1,296,0.2,1,weather_api
e7a4771e-c383-48aa-8000-b7ee326a4089,0,139.66666666666666,318,1,7677,0.2,1,user_profile
e02aa32a-331a-41da-b11c-b31943335ddd,0,560.6666666666666,1479,1,6937,0.2,1,user_profile
8b831621-9715-4c7e-ad96-6d98d396ae61,0,468.3333333333333,1124,1,4376,0.2,1,user_profile
efe9c6ed-925c-496c-bc7b-d3faf2999074,0,242.33333333333334,493,1,5925,0.2,1,user_profile
c08233c6-f93a-46d6-96d0-ae81553d9c31,0,264.6666666666667,530,1,3238,0.2,1,kb-search
60a30ff4-11ac-469f-bf1e-9e482ed4dcf2,0,271.6666666666667,517,1,7456,0.2,1,user_profile
28e2ad44-7ada-45da-860f-a725fbed5343,0,275.3333333333333,546,1,4659,0.2,1,user_profile
965188bf-f714-48b4-b814-32fb954b9939,0,439.0,984,1,5749,0.3,1,calendar_lookup
dac7f74f-a175-4fb3-86d8-cc376b70da23,0,390.3333333333333,1090,1,4925,0.2,1,kb-search
9eb7a06d-7ab1-4875-99c1-e4e231d9e97d,0,464.0,1255,1,2938,0.3,1,calendar_lookup
